,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10
Titanic,0.067889908,0.023853211,0.012844037,0.012844037,0.016513761,0.012844037,0.012844037,0.033027523,0.796330275,0.011009174
The Dark Knight,0.754412893,0.006139678,0.005372218,0.006907137,0.004604758,0.203376823,0.004604758,0.006139678,0.004604758,0.003837299
Star Wars Ep. I: The P,0.015384615,0.017948718,0.017948718,0.558974359,0.276923077,0.035897436,0.033333333,0.017948718,0.012820513,0.012820513
Pirates of the Caribbe (2006),0.026666667,0.036666667,0.073333333,0.046666667,0.04,0.016666667,0.663333333,0.016666667,0.02,0.06
Transformers: Revenge,0.039800995,0.034825871,0.034825871,0.054726368,0.606965174,0.059701493,0.029850746,0.049751244,0.024875622,0.064676617
Jurassic Park,0.015197568,0.012158055,0.03343465,0.050151976,0.779635258,0.021276596,0.016717325,0.045592705,0.016717325,0.009118541
Finding Nemo,0.012468828,0.019950125,0.865336658,0.014962594,0.014962594,0.017456359,0.014962594,0.012468828,0.012468828,0.014962594
Spider-Man 3,0.025906736,0.051813472,0.062176166,0.031088083,0.025906736,0.626943005,0.077720207,0.031088083,0.041450777,0.025906736
The Lion King,0.020289855,0.014492754,0.834782609,0.023188406,0.017391304,0.017391304,0.017391304,0.014492754,0.026086957,0.014492754
Shrek the Third,0.049019608,0.147058824,0.166666667,0.274509804,0.088235294,0.058823529,0.058823529,0.049019608,0.049019608,0.058823529
Transformers,0.01754386,0.042105263,0.024561404,0.031578947,0.680701754,0.09122807,0.01754386,0.028070175,0.01754386,0.049122807
Iron Man,0.008403361,0.021848739,0.020168067,0.020168067,0.084033613,0.8,0.008403361,0.008403361,0.011764706,0.016806723
Indiana Jones and the,0.032110092,0.091743119,0.068807339,0.04587156,0.600917431,0.027522936,0.027522936,0.036697248,0.027522936,0.041284404
Pirates of the Caribbe (2007),0.023076923,0.030769231,0.065384615,0.084615385,0.034615385,0.038461538,0.6,0.023076923,0.026923077,0.073076923
Harry Potter and the H,0.017857143,0.021428571,0.05,0.714285714,0.025,0.021428571,0.021428571,0.017857143,0.021428571,0.089285714
Harry Potter and the O,0.069620253,0.037974684,0.044303797,0.639240506,0.044303797,0.037974684,0.03164557,0.03164557,0.03164557,0.03164557
Up,0.00867052,0.007225434,0.904624277,0.007225434,0.00867052,0.007225434,0.01300578,0.011560694,0.023121387,0.00867052
The Hangover,0.018975332,0.011385199,0.009487666,0.013282732,0.009487666,0.009487666,0.020872865,0.028462998,0.009487666,0.869070209
Star Trek,0.123641304,0.014945652,0.013586957,0.016304348,0.770380435,0.008152174,0.024456522,0.00951087,0.006793478,0.012228261
I am Legend,0.013592233,0.011650485,0.013592233,0.031067961,0.021359223,0.015533981,0.009708738,0.852427184,0.019417476,0.011650485
"Monsters, Inc.",0.01618123,0.01618123,0.741100324,0.029126214,0.019417476,0.01618123,0.01618123,0.01618123,0.022653722,0.106796117
Night at the Museum,0.047619048,0.03968254,0.087301587,0.063492063,0.055555556,0.03968254,0.063492063,0.03968254,0.047619048,0.515873016
Cars,0.035211268,0.126760563,0.429577465,0.035211268,0.042253521,0.042253521,0.035211268,0.070422535,0.035211268,0.147887324
Ghostbusters,0.036630037,0.036630037,0.018315018,0.029304029,0.062271062,0.029304029,0.025641026,0.080586081,0.021978022,0.659340659
X-Men: The Last Stand,0.067307692,0.048076923,0.028846154,0.033653846,0.129807692,0.572115385,0.024038462,0.024038462,0.048076923,0.024038462
Hancock,0.072727273,0.059090909,0.045454545,0.022727273,0.027272727,0.218181818,0.022727273,0.35,0.1,0.081818182
The Bourne Ultimatum,0.131188119,0.707920792,0.012376238,0.042079208,0.022277228,0.012376238,0.022277228,0.014851485,0.01980198,0.014851485
WALL-E,0.005580357,0.005580357,0.3984375,0.005580357,0.383928571,0.0078125,0.016741071,0.15625,0.014508929,0.005580357
National Treasure 2: B,0.043478261,0.095652174,0.052173913,0.052173913,0.060869565,0.113043478,0.147826087,0.113043478,0.269565217,0.052173913
The Da Vinci Code,0.081395349,0.063953488,0.145348837,0.156976744,0.040697674,0.034883721,0.046511628,0.11627907,0.25,0.063953488
Kung Fu Panda,0.018587361,0.234200743,0.539033457,0.026022305,0.018587361,0.026022305,0.037174721,0.022304833,0.033457249,0.044609665
Ratatouille,0.015503876,0.018087855,0.868217054,0.015503876,0.012919897,0.015503876,0.015503876,0.012919897,0.012919897,0.012919897
Superman Returns,0.043859649,0.114035088,0.061403509,0.052631579,0.043859649,0.48245614,0.043859649,0.043859649,0.070175439,0.043859649
Monsters vs. Aliens,0.033783784,0.040540541,0.47972973,0.033783784,0.162162162,0.033783784,0.033783784,0.040540541,0.033783784,0.108108108
Happy Feet,0.072463768,0.072463768,0.15942029,0.101449275,0.072463768,0.101449275,0.072463768,0.086956522,0.115942029,0.144927536
Ice Age: The Meltdown,0.066666667,0.093333333,0.253333333,0.08,0.066666667,0.093333333,0.08,0.066666667,0.066666667,0.133333333
Ice Age: Dawn of the D,0.056179775,0.06741573,0.303370787,0.112359551,0.146067416,0.056179775,0.056179775,0.056179775,0.056179775,0.08988764
Twilight,0.01953125,0.01953125,0.03125,0.1640625,0.03125,0.0234375,0.0234375,0.50390625,0.09375,0.08984375
The Simpsons Movie,0.038461538,0.069230769,0.353846154,0.046153846,0.046153846,0.076923077,0.053846154,0.038461538,0.046153846,0.230769231
Madagascar: Escape 2 A,0.072463768,0.101449275,0.231884058,0.072463768,0.086956522,0.086956522,0.072463768,0.072463768,0.086956522,0.115942029
X-Men Origins: Wolveri,0.028938907,0.038585209,0.01607717,0.019292605,0.090032154,0.710610932,0.041800643,0.022508039,0.01607717,0.01607717
Night at the Museum: B,0.051546392,0.051546392,0.144329897,0.06185567,0.06185567,0.082474227,0.06185567,0.06185567,0.103092784,0.319587629
Beauty and the Beast,0.021459227,0.021459227,0.755364807,0.038626609,0.021459227,0.034334764,0.030042918,0.025751073,0.030042918,0.021459227
Quantum of Solace,0.02739726,0.748858447,0.02283105,0.02283105,0.02739726,0.03196347,0.0456621,0.02283105,0.02739726,0.02283105
Wild Hogs,0.078125,0.09375,0.171875,0.078125,0.078125,0.109375,0.09375,0.078125,0.078125,0.140625
Casino Royale,0.016483516,0.848901099,0.019230769,0.016483516,0.013736264,0.016483516,0.016483516,0.013736264,0.024725275,0.013736264
The Pursuit of Happyne,0.025,0.020833333,0.083333333,0.020833333,0.033333333,0.020833333,0.020833333,0.170833333,0.579166667,0.025
The Proposal,0.040983607,0.040983607,0.057377049,0.040983607,0.040983607,0.057377049,0.040983607,0.049180328,0.516393443,0.114754098
Fast & Furious,0.123076923,0.138461538,0.092307692,0.092307692,0.076923077,0.076923077,0.138461538,0.107692308,0.076923077,0.076923077
Over the Hedge,0.052631579,0.094736842,0.357894737,0.052631579,0.052631579,0.063157895,0.105263158,0.052631579,0.063157895,0.105263158
Horton Hears a Who,0.053763441,0.064516129,0.161290323,0.139784946,0.053763441,0.086021505,0.053763441,0.064516129,0.129032258,0.193548387
Sex and the City,0.037037037,0.037037037,0.177777778,0.074074074,0.066666667,0.044444444,0.044444444,0.066666667,0.340740741,0.111111111
Knocked Up,0.021929825,0.030701754,0.021929825,0.021929825,0.021929825,0.030701754,0.035087719,0.021929825,0.039473684,0.754385965
Talladega Nights: The,0.043478261,0.12173913,0.12173913,0.060869565,0.043478261,0.27826087,0.052173913,0.043478261,0.086956522,0.147826087
G.I. Joe: The Rise of,0.072580645,0.096774194,0.048387097,0.040322581,0.443548387,0.064516129,0.048387097,0.088709677,0.040322581,0.056451613
Paul Blart: Mall Cop,0.078125,0.171875,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,0.203125
Mamma Mia!,0.037037037,0.037037037,0.622222222,0.037037037,0.051851852,0.037037037,0.037037037,0.051851852,0.051851852,0.037037037
The Chronicles of Narn (2008),0.044642857,0.044642857,0.098214286,0.419642857,0.089285714,0.053571429,0.0625,0.089285714,0.044642857,0.053571429
